Update  740/2441 | Step 1,515,520 | Episodes 13313 | FPS   2242 | Mean reward     54.1 | LR 2.09e-04 | Time    676s
Update  745/2441 | Step 1,525,760 | Episodes 13334 | FPS   2242 | Mean reward     40.9 | LR 2.08e-04 | Time    680s
Update  750/2441 | Step 1,536,000 | Episodes 13365 | FPS   2243 | Mean reward     35.8 | LR 2.08e-04 | Time    685s
   ->  Model saved to checkpoints/ant_ppo_1536000.pt
Update  755/2441 | Step 1,546,240 | Episodes 13385 | FPS   2243 | Mean reward     68.5 | LR 2.07e-04 | Time    689s
Update  760/2441 | Step 1,556,480 | Episodes 13402 | FPS   2242 | Mean reward     77.2 | LR 2.07e-04 | Time    694s
Update  765/2441 | Step 1,566,720 | Episodes 13426 | FPS   2241 | Mean reward     29.3 | LR 2.06e-04 | Time    699s
Update  770/2441 | Step 1,576,960 | Episodes 13448 | FPS   2242 | Mean reward     51.9 | LR 2.05e-04 | Time    703s
Update  775/2441 | Step 1,587,200 | Episodes 13467 | FPS   2243 | Mean reward     57.5 | LR 2.05e-04 | Time    708s
Update  780/2441 | Step 1,597,440 | Episodes 13485 | FPS   2243 | Mean reward     72.7 | LR 2.04e-04 | Time    712s
Update  785/2441 | Step 1,607,680 | Episodes 13518 | FPS   2244 | Mean reward     56.5 | LR 2.04e-04 | Time    717s
Update  790/2441 | Step 1,617,920 | Episodes 13545 | FPS   2244 | Mean reward     67.5 | LR 2.03e-04 | Time    721s
Update  795/2441 | Step 1,628,160 | Episodes 13570 | FPS   2245 | Mean reward     68.7 | LR 2.02e-04 | Time    725s
Update  800/2441 | Step 1,638,400 | Episodes 13590 | FPS   2246 | Mean reward     89.0 | LR 2.02e-04 | Time    730s
   ->  Model saved to checkpoints/ant_ppo_1638400.pt
Update  805/2441 | Step 1,648,640 | Episodes 13604 | FPS   2246 | Mean reward    100.1 | LR 2.01e-04 | Time    734s
Update  810/2441 | Step 1,658,880 | Episodes 13629 | FPS   2246 | Mean reward     69.3 | LR 2.00e-04 | Time    738s
Update  815/2441 | Step 1,669,120 | Episodes 13650 | FPS   2247 | Mean reward     76.9 | LR 2.00e-04 | Time    743s
Update  820/2441 | Step 1,679,360 | Episodes 13673 | FPS   2247 | Mean reward     51.5 | LR 1.99e-04 | Time    747s
